,Player,Win Frequency,Cash Frequency,EV,1sigma
0,b'A to the C 1',0.35,0.94,165.0,106.0
24,b'hammertime',0.39,0.39,116.0,146.0
19,b'Paul McBeth of Brackets',0.26,0.46,96.0,127.0
12,b'I Think I Chan',0.0,0.74,59.0,52.0
21,b'Trev is Guessing Again',0.0,0.3,36.0,57.0
4,b'ChrisLauff 1',0.0,0.39,25.0,32.0
14,b'Jay Huff is my father',0.0,0.31,23.0,35.0
7,b'Forced Zag fan',0.0,0.54,21.0,22.0
10,b'HammerMom',0.0,0.3,21.0,33.0
2,b'Ba Ba Ba Ba Ba Basketball',0.0,0.26,8.0,15.0
13,b'JHAM',0.0,0.31,8.0,12.0
3,b'Bryce Hammerton',0.0,0.06,2.0,6.0
5,b'Cody Broughton 2',0.0,0.0,0.0,0.0
26,b'tricksters93 1',0.0,0.0,0.0,0.0
25,b'mary me tony pt3',0.0,0.0,0.0,0.0
23,b'dis is my bracket',0.0,0.0,0.0,0.0
22,b'alekosss',0.0,0.0,0.0,0.0
20,b'The Bracket is Back',0.0,0.0,0.0,0.0
17,b'Moksha0736',0.0,0.0,0.0,0.0
18,b'Nanoosh',0.0,0.0,0.0,0.0
8,b'GO BASKETBALL',0.0,0.0,0.0,0.0
16,b'KHAM',0.0,0.0,0.0,0.0
15,b'Jefe',0.0,0.0,0.0,0.0
1,b'B1G Boys',0.0,0.0,0.0,0.0
6,b'DefaultUsername27 1',0.0,0.0,0.0,0.0
11,b'Holding onto Hope',0.0,0.0,0.0,0.0
9,b'GonZAGa',0.0,0.0,0.0,0.0
27,b'why am i screaming',0.0,0.0,0.0,0.0
